congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
119,President,99912,99,0,USA,200,0,0,"TRUMP, Donald John",,1946.0,,0.403,0.162,,,,,,,
119,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958.0,,0.379,0.377,-13.59215,0.97496,536,5,,0.398,0.394
119,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965.0,,-0.402,0.397,-42.25945,0.92446,538,19,,-0.41,0.458
119,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954.0,,0.671,0.112,-37.64767,0.93302,543,20,,0.546,-0.002
119,House,22140,41,1,AL,200,,,"MOORE, Barry",M001212,1966.0,,0.647,-0.241,-49.74735,0.91152,537,20,,0.691,-0.206
119,House,22366,41,5,AL,200,,,"STRONG, Dale",S001220,1970.0,,0.604,0.384,-18.38035,0.96629,536,10,,0.478,0.727
119,House,22515,41,2,AL,100,,,"FIGURES, Shomari",F000481,1985.0,,-0.414,0.498,-44.27869,0.92113,539,18,,-0.414,0.502
119,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965.0,,0.405,0.466,-13.91709,0.97442,537,6,,0.42,0.416
119,House,22503,81,1,AK,200,,,"BEGICH, Nicholas J., III",B001323,1977.0,,0.584,-0.18,-47.59915,0.91637,545,20,,0.584,-0.18
119,House,21995,93,0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947.0,,0.327,0.195,-0.65905,0.95057,13,0,,0.575,0.765
119,House,20305,61,7,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948.0,2025.0,-0.598,-0.264,-0.0,1.0,1,0,,-0.895,0.129
119,House,21103,61,9,AZ,200,,,"GOSAR, Paul",G000565,1958.0,,0.703,-0.518,-40.29095,0.92418,511,17,,0.704,-0.549
119,House,21105,61,1,AZ,200,,,"SCHWEIKERT, David",S001183,1962.0,,0.553,-0.219,-55.81835,0.90214,542,26,,0.533,-0.171
119,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958.0,,0.818,-0.575,-38.0471,0.92715,503,16,,0.838,-0.545
119,House,21968,61,4,AZ,100,,,"STANTON, Greg",S001211,1970.0,,-0.28,0.249,-36.60014,0.934,536,16,,-0.269,0.178
119,House,22309,61,6,AZ,200,,,"CISCOMANI, Juan",C001133,1982.0,,0.299,0.53,-46.07311,0.91659,529,13,,0.42,0.108
119,House,22311,61,2,AZ,200,,,"CRANE, Eli",C001132,1980.0,,0.747,-0.664,-44.68805,0.92058,540,23,,0.764,-0.646
119,House,22500,61,3,AZ,100,,,"ANSARI, Yassamin",A000381,1992.0,,-0.432,-0.391,-25.16337,0.95463,542,9,,-0.432,-0.391
119,House,22522,61,8,AZ,200,,,"HAMADEH, Abraham J.",H001098,1991.0,,0.663,-0.055,-45.6313,0.91954,544,24,,0.663,-0.055
119,House,22565,61,7,AZ,100,,,"GRIJALVA, Adelita S.",G000606,,,-0.481,-0.676,-8.16424,0.97457,317,1,,-0.481,-0.676
119,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966.0,,0.462,0.304,-26.92503,0.95127,539,12,,0.528,0.32
119,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957.0,,0.347,0.636,-13.86629,0.97243,496,4,,0.335,0.619
119,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956.0,,0.435,0.282,-16.23879,0.97059,544,5,,0.379,0.543
119,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce",W000821,1967.0,,0.543,0.256,-26.46489,0.95269,546,14,,0.441,0.206
119,House,15448,71,11,CA,100,,,"PELOSI, Nancy",P000197,1940.0,,-0.489,-0.174,-21.75858,0.95839,512,13,,-0.466,0.116
119,House,20107,71,48,CA,200,,,"ISSA, Darrell",I000056,1953.0,,0.476,0.036,-28.1396,0.9495,543,14,,0.382,0.371
119,House,20310,71,38,CA,100,,,"SÁNCHEZ, Linda T.",S001156,1969.0,,-0.507,-0.129,-20.14606,0.96325,538,9,,-0.447,-0.134
119,House,20501,71,21,CA,100,,,"COSTA, Jim",C001059,1952.0,,-0.199,0.447,-100.69725,0.82667,529,53,,-0.317,0.688
119,House,20538,71,7,CA,100,,,"MATSUI, Doris",M001163,1944.0,,-0.433,-0.15,-23.59486,0.95786,548,10,,-0.412,-0.414
119,House,20903,71,5,CA,200,,,"McCLINTOCK, Tom",M001177,1956.0,,0.671,-0.358,-85.55584,0.8517,533,40,,0.65,-0.26
119,House,20955,71,28,CA,100,,,"CHU, Judy",C001080,1953.0,,-0.479,-0.369,-24.2275,0.95675,548,9,,-0.4,-0.344
119,House,20958,71,8,CA,100,,,"GARAMENDI, John",G000559,1945.0,,-0.312,-0.101,-38.219,0.92641,500,13,,-0.31,-0.31
119,House,21302,71,1,CA,200,,,"LAMALFA, Doug",L000578,1960.0,2026.0,0.542,0.007,-12.90376,0.95663,291,4,,0.576,0.048
119,House,21303,71,2,CA,100,,,"HUFFMAN, Jared",H001068,1964.0,,-0.432,-0.505,-21.2133,0.96148,540,9,,-0.5,-0.367
119,House,21304,71,6,CA,100,,,"BERA, Ami",B001287,1965.0,,-0.247,0.008,-45.86001,0.91814,537,19,,-0.288,-0.039
119,House,21306,71,14,CA,100,,,"SWALWELL, Eric",S001193,1980.0,,-0.355,-0.05,-14.50643,0.94553,259,8,,-0.271,-0.303
119,House,21307,71,22,CA,200,,,"VALADAO, David G.",V000129,1977.0,,0.256,0.438,-27.14707,0.9507,537,15,,0.242,0.449
119,House,21308,71,26,CA,100,,,"BROWNLEY, Julia",B001285,1952.0,,-0.306,0.048,-26.48945,0.95143,532,9,,-0.431,0.042
119,House,21311,71,25,CA,100,,,"RUIZ, Raul",R000599,1972.0,,-0.262,0.04,-42.55156,0.92463,543,17,,-0.379,0.065
119,House,21312,71,39,CA,100,,,"TAKANO, Mark",T000472,1960.0,,-0.457,-0.339,-16.22819,0.97072,546,7,,-0.4,-0.524
119,House,21314,71,52,CA,100,,,"VARGAS, Juan",V000130,1961.0,,-0.398,0.015,-46.30762,0.91767,539,13,,-0.435,-0.121
119,House,21315,71,50,CA,100,,,"PETERS, Scott",P000608,1958.0,,-0.194,-0.034,-53.36752,0.90639,543,20,,-0.226,-0.075
119,House,21504,71,10,CA,100,,,"DESAULNIER, Mark James",D000623,1952.0,,-0.507,-0.365,-17.7709,0.96751,538,7,,-0.429,-0.451
119,House,21506,71,33,CA,100,,,"AGUILAR, Peter Rey",A000371,1979.0,,-0.328,0.145,-25.69675,0.95394,545,8,,-0.456,0.298
119,House,21507,71,36,CA,100,,,"LIEU, Ted",L000582,1969.0,,-0.37,-0.196,-31.99596,0.94195,535,14,,-0.367,-0.01
119,House,21508,71,35,CA,100,,,"TORRES, Norma Judith",T000474,1965.0,,-0.365,0.074,-36.37119,0.93498,541,14,,-0.35,0.131
119,House,21703,71,44,CA,100,,,"BARRAGÁN, Nanette Diaz",B001300,1976.0,,-0.497,-0.122,-14.32144,0.97363,536,4,,-0.471,-0.152
119,House,21709,71,24,CA,100,,,"CARBAJAL, Salud",C001112,1964.0,,-0.324,0.099,-28.09844,0.94975,545,12,,-0.332,0.057
119,House,21711,71,46,CA,100,,,"CORREA, Jose Luis",C001110,1958.0,,-0.284,0.188,-84.54772,0.85047,522,31,,-0.377,0.548
119,House,21728,71,17,CA,100,,,"KHANNA, Ro",K000389,1976.0,,-0.458,-0.296,-25.57448,0.95383,541,10,,-0.386,-0.235
119,House,21740,71,19,CA,100,,,"PANETTA, James Varni",P000613,1969.0,,-0.28,0.189,-54.71056,0.90515,549,24,,-0.243,0.201
119,House,21754,71,34,CA,100,,,"GOMEZ, Jimmy",G000585,1974.0,,-0.532,-0.258,-33.02133,0.93893,524,13,,-0.518,-0.126
119,House,21907,71,31,CA,100,,,"CISNEROS, Gil",C001123,1971.0,,-0.46,0.563,-35.3552,0.93741,547,17,,-0.463,0.352
119,House,21930,71,9,CA,100,,,"HARDER, Josh",H001090,1986.0,,-0.295,0.411,-57.40573,0.9002,546,25,,-0.23,0.111
119,House,21939,71,49,CA,100,,,"LEVIN, Mike",L000593,1978.0,,-0.322,0.154,-27.71447,0.95051,546,13,,-0.301,0.095
119,House,22126,71,51,CA,100,,,"JACOBS, Sara",J000305,1989.0,,-0.417,-0.425,-15.51581,0.97208,548,5,,-0.511,-0.334
119,House,22129,71,40,CA,200,,,"KIM, Young",K000397,1962.0,,0.264,0.394,-20.89446,0.96245,546,6,,0.391,0.595
119,House,22145,71,23,CA,200,,,"OBERNOLTE, Jay",O000019,1970.0,,0.318,0.3,-37.4642,0.93357,545,13,,0.323,0.455
119,House,22323,71,42,CA,100,,,"GARCIA, Robert",G000598,1977.0,,-0.374,-0.588,-14.48389,0.97299,529,4,,-0.392,-0.408
119,House,22333,71,37,CA,100,,,"KAMLAGER-DOVE, Sydney",K000400,1972.0,,-0.516,-0.449,-17.79638,0.9671,532,6,,-0.498,-0.252
119,House,22336,71,3,CA,200,,,"KILEY, Kevin",K000401,1985.0,,0.253,0.418,-24.96588,0.93737,386,8,,0.26,0.306
119,House,22354,71,15,CA,100,,,"MULLIN, Kevin",M001225,1970.0,,-0.478,-0.007,-20.58837,0.96133,522,9,,-0.508,0.109
119,House,22378,71,20,CA,200,,,"FONG, Vince",F000480,1979.0,,0.449,0.81,-14.8236,0.97267,535,4,,0.429,0.776
119,House,22516,71,30,CA,100,,,"FRIEDMAN, Laura",F000483,1966.0,,-0.35,-0.372,-21.18708,0.96187,545,9,,-0.35,-0.372
119,House,22521,71,13,CA,100,,,"GRAY, Adam",G000605,1977.0,,-0.233,0.76,-84.37023,0.8497,518,32,,-0.233,0.759
119,House,22532,71,16,CA,100,,,"LICCARDO, Sam T.",L000607,1970.0,,-0.342,-0.061,-27.3304,0.95109,545,12,,-0.342,-0.061
119,House,22541,71,47,CA,100,,,"MIN, Dave",M001241,1976.0,,-0.214,-0.158,-65.93743,0.88663,548,33,,-0.214,-0.156
119,House,22550,71,29,CA,100,,,"RIVAS, Luz M.",R000620,1974.0,,-0.516,-0.209,-17.93302,0.96745,542,8,,-0.516,-0.209
119,House,22553,71,12,CA,100,,,"SIMON, Lateefah",S001231,1977.0,,-0.608,-0.297,-23.07133,0.95818,540,12,,-0.608,-0.297
119,House,22556,71,45,CA,100,,,"TRAN, Derek",T000491,1980.0,,-0.23,0.14,-51.45503,0.91006,546,23,,-0.23,0.145
119,House,22559,71,27,CA,100,,,"WHITESIDES, George",W000830,1974.0,,-0.202,0.099,-47.66869,0.91521,538,19,,-0.202,0.104
119,House,22570,71,1,CA,200,,,"GALLAGHER, James",G000607,,,0.34,-0.135,-8.96881,0.85201,56,3,,0.338,-0.139
119,House,29106,71,43,CA,100,,,"WATERS, Maxine",W000187,1938.0,,-0.656,-0.094,-23.80075,0.95584,527,8,,-0.676,0.065
119,House,29323,71,41,CA,200,,,"CALVERT, Ken",C000059,1953.0,,0.34,0.279,-15.2905,0.97243,547,5,,0.345,0.528
119,House,29504,71,18,CA,100,,,"LOFGREN, Zoe",L000397,1947.0,,-0.396,-0.397,-31.94926,0.94224,537,11,,-0.336,-0.188
119,House,29707,71,32,CA,100,,,"SHERMAN, Brad",S000344,1954.0,,-0.345,-0.136,-33.9883,0.93856,536,14,,-0.513,0.203
119,House,29901,71,4,CA,100,,,"THOMPSON, Michael",T000460,1951.0,,-0.392,0.072,-40.5866,0.92823,545,15,,-0.355,0.073
119,House,92336,71,3,CA,328,,,"KILEY, Kevin",K000401,1985.0,,0.158,0.376,-33.9344,0.80672,158,12,,0.158,0.372
119,House,21912,62,6,CO,100,,,"CROW, Jason",C001121,1979.0,,-0.36,0.179,-38.85926,0.93142,547,17,,-0.4,-0.004
119,House,21948,62,2,CO,100,,,"NEGUSE, Joseph",N000191,1984.0,,-0.43,-0.109,-26.23406,0.95326,548,12,,-0.472,-0.08
119,House,22103,62,4,CO,200,,,"BOEBERT, Lauren",B000825,1986.0,,0.711,-0.529,-65.69658,0.88363,531,27,,0.615,-0.609
119,House,22359,62,7,CO,100,,,"PETTERSEN, Brittany",P000620,1981.0,,-0.374,0.276,-43.54198,0.91311,479,15,,-0.388,0.02
119,House,22509,62,5,CO,200,,,"CRANK, Jeff",C001137,1967.0,,0.666,-0.097,-52.77399,0.90819,548,23,,0.665,-0.097
119,House,22513,62,8,CO,200,,,"EVANS, Gabe",E000300,1986.0,,0.343,0.066,-45.53195,0.92041,549,21,,0.343,0.066
